title,store,original_price,current_price,unit_price,unit
"Žāvētas dateles PREMIUM ARIMEX bez kauliņiem, 300 g (7,63 €/kg); (11,30 €/kg)",maxima.lv,,2.29,7.63,€/kg
"Studentu brokastis ARIMEX PREMIUM, 500 g (12,98 €/kg); (17,98 €/kg)",maxima.lv,,6.49,12.98,€/kg
"Pistācijas ARIMEX, 1 kg, grauzdētas, sālītas",maxima.lv,,13.99,13.99,€/kg
"Cepumi SELGA, 180 g (4,94 €/kg); (7,17 €/kg)",maxima.lv,,0.89,4.94,€/kg
"Cepumi OREO, 220 g, GOLDEN vai ORIGINAL (9,05 €/kg); (14,50 €/kg)",maxima.lv,,1.99,9.05,€/kg
"Plānās sausmaizītes FINN CRISP ORIGINAL, 200 g (8,45 €/kg); (10,75 €/kg)",maxima.lv,,1.69,8.45,€/kg
"Melnā vai zaļā tēja DILMAH, 100 g (17,90 €/kg); (no 24,90 €/kg)",maxima.lv,,1.79,17.90,€/kg
"Piparmētru-citronu tēja HERBITUM, 1 iepak./20x 2,5 g (33,80 €/kg); (51,80 €/kg)",maxima.lv,,1.69,676.00,€/kg
"Šķīstošā kafija MACCOFFEE STRONG 3IN1, 20 g (8,50 €/kg)",maxima.lv,0.22,0.17,8.50,€/kg
"Gāzēts dzēriens SELITA KLASIKA, 1,5 l, četri veidi (0,66 €/l); (0,99 €/l)",maxima.lv,,0.99,0.66,€/l
"Nektārs vai sulas dzēriens DON SIMON PREMIUM, 1 l, apelsīnu vai multivitamīnu",maxima.lv,,2.99,2.99,€/l
"Gāzēts dzēriens VENDEN, 570 ml, RE:CHARG vai RE:FRESH (2,09 €/l)",maxima.lv,1.49,1.19,2.09,€/l
"Dealkoholizēts dzirkstošais vīna dzēriens MIONETTO, 750 ml (5,32 €/l)",maxima.lv,4.59,3.99,5.32,€/l
"Ledus tēja FUZETEA ar persiku-hibiska garšu, 1,5 l (0,93 €/l); (1,50 €/l)",maxima.lv,,1.39,0.93,€/l
"Enerģijas dzēriens RED BULL, 250 ml, trīs veidi (4,76 €/l); (6,76 €/l)",maxima.lv,,1.19,4.76,€/l
"Lasis, 1 kg, atdzesēts",maxima.lv,,8.99,8.99,€/kg
"Sīpoli, 1 kg",maxima.lv,0.59,0.39,0.39,€/kg
"Kūtī dētas olas, 1 iepak./10 gab.",maxima.lv,,1.81,,
"Rapšu eļļa EXTRA LINE, 1 l",maxima.lv,,1.49,1.49,€/l
"Pērļu grūbas ZELTA SAULE, 1 iepak./4x 100 g
                            (3,48 €/kg)",maxima.lv,,1.39,13.90,€/kg
"Saldskābā maize MANA MAIZE, 800 g
                            (1,08 €/kg)",maxima.lv,,0.86,1.08,€/kg
"Piens FARM MILK, 1 l, 2%",maxima.lv,,0.54,0.54,€/l
"Cāļa gaļas nageti, 280 g
                            (10,54 €/kg)",maxima.lv,,2.95,10.54,€/kg
"Kūka krēma kārtojums ar ķiršiem, 400 g
                            (9,98 €/kg)",maxima.lv,,3.99,9.98,€/kg
"Karamelizēts iebiezinātais piens WELL DONE, 1 kg",maxima.lv,,4.99,4.99,€/kg
"Majonēze ĻUBIM, 300 g, 30% vai 67%
                            (3,30 €/kg)",maxima.lv,,0.99,3.30,€/kg
