title,store,original_price,current_price
Piena Šokolāde Karl Fazer Ar Rozīnēm Un Lazdu Riekstiem 180g,etop.lv,"4,69 € - 5,09 €",3.99
Siers Valio Tilsit 45% Sverams,etop.lv,"5,69 € - 6,09 €",4.99
Saldējums Pols Gotiņa Multipaka 40gx6,etop.lv,‌,2.99
Saldējums Pols Plombīrs Multipaka 40gx6,etop.lv,‌,2.99
Lavašs Markos 220g,etop.lv,‌,1.84
Olbaltumvielu Dzēriens Piena Spēks 460g,etop.lv,‌,1.39
Ķiršu Našķis Bits 70g,etop.lv,"1,89 € - 2,09 €",1.49
Ragū Rīgas Miesnieks Cūkgaļas Kūpināts 800g,etop.lv,‌,2.39
Desa Ķekava Aspika Cāļa Gaļas 350g,etop.lv,"2,19 € - 2,39 €",1.79
Piens Tere Bez Laktozes 2.5% 1l,etop.lv,"1,49 € - 1,69 €",0.99
Zemesrieksti Jega Grauzdēti  Ar Sāli Bundžā 140g,etop.lv,"1,99 € - 2,28 €",1.69
Zemesrieksti Jega Grauzd. Ar  Krēj.un Sīp.garšu Bundžā 140g,etop.lv,"1,99 € - 2,28 €",1.69
Zemesrieksti Jega Grauzdēti Ar Saldo Čili Garšu Bundžā 140g,etop.lv,"1,99 € - 2,29 €",1.69
Uzkoda Estrella Pom Bear Ar Siera Garšu 65g,etop.lv,"1,59 € - 1,79 €",1.19
Baltmaize Latvijas Maiznieks Lielmaize 550g,etop.lv,‌,1.09
Sausās Brokastis Tip Top Kvieši Ar Medu 500g,etop.lv,‌,2.29
Trauku Mazg.līdz.fairy Pure Clean 450ml,etop.lv,‌,1.89
Barība Kaķiem Sausā Optivital Ar Liellopa Gaļu 1.4kg,etop.lv,‌,5.59
Barība Kaķiem Sausā Optivital Steriliz.lasis 1.4kg,etop.lv,‌,5.59
Makaroni Opā Penne Rigate 400g,etop.lv,‌,0.50
Makaroni Opā Fusilli 400g,etop.lv,‌,0.50
Makaroni Opā Cornetti Rigati  400g,etop.lv,‌,0.50
Zupas Izlase Kgs Karsti Kūpināta Sver. Fas.,etop.lv,"1,99 € - 2,19 €",1.59
Raudzēts Piena Produkts Lakto Aveņu Melleņu 450g,etop.lv,‌,0.89
Nūdeles Sam Yang Ar Asās Vistas Un Siera Garšu 140g,etop.lv,‌,1.89
Nūdeles Sam Yang Ar Asās Vistas Garšu 140g,etop.lv,‌,1.89
Desa Tip Top Auksti Kūpināta 200g,etop.lv,"2,59 € - 2,59 €",1.99
Šokolādes Konfektes Roshen Romashka Sver.,etop.lv,"7,49 € - 8,39 €",6.49
Kafija Šķīstošā Jacobs 3in1 12.6gx20 Maiss,etop.lv,‌,2.99
Saldējums Karlsons Ābolu Upeņu 75g,etop.lv,"0,75 € - 0,85 €",0.55
Jogurts Müller Mix Ar Vafelēm 130g,etop.lv,‌,0.69
Kakao Dzēriens Mokate Karalis Lauva 150g,etop.lv,‌,1.29
Kečups Tip Top 830g,etop.lv,‌,1.69
Salami Tip Top Karsti Kūpināts Šķēlēs 100g,etop.lv,‌,1.29
Bekons Tip Top Karsti Kūpināts Šķēlēs 100g,etop.lv,‌,1.39
Rudzu Maize Tip Top 800g,etop.lv,‌,0.86
Kakao Krēms Kiddy Lazdu Riekstu 400g,etop.lv,"3,09 € - 3,39 €",2.49
Zefīrs Tip Top Ar Vaniļas Garšu 260g,etop.lv,‌,1.89
Zefīrs Tip Top Dzērveņu  260g,etop.lv,‌,1.89
Želejkonfektes Haribo Pico Balla 85g,etop.lv,"1,59 € - 1,79 €",1.19
Īpaši Tumšā Šokolāde Laima Lukss 70% 90g,etop.lv,"2,69 € - 2,99 €",2.09
D Dzēriens Pepsi Max Gāz.2l Pet,etop.lv,"2,89 € - 2,92 €",1.69
Graudu Maize Tip Top 300g,etop.lv,‌,0.73
Saldais Biezpiens Baltais Ar Dubaijas Šokolādes Garšu 180g,etop.lv,‌,1.19
Pusspārni Bauska Garšīgie Cāļu Lielpaka 800g,etop.lv,"4,69 € - 5,09 €",3.99
Taste Story Četru Sieru Pica 125g,etop.lv,"1,59 € - 1,79 €",1.19
Taste Story Pica Ar Šķiņķi Un Papriku 125g,etop.lv,"1,59 € - 1,79 €",1.19
Kafija Šķīstošā Jacobs 2in1 Classic 12.4gx10 Maiss,etop.lv,"2,09 € - 2,29 €",1.69
Kafija Šķīstošā Jacobs 3in1 Orginal 12.6gx10 Maiss,etop.lv,"2,09 € - 2,29 €",1.69
Biezpiens Tip Top 9% 400g,etop.lv,‌,2.49
Kafija Malta Jacobs Brazil&colombia 450g,etop.lv,"13,99 € - 16,99 €",8.49
Kafija Malta Jacobs Origs Uganda&kenya 450g,etop.lv,"13,99 € - 16,99 €",8.49
Desiņas Tip Top Mednieku 400g,etop.lv,‌,2.49
Garšviela Santa Maria Vistai 275g,etop.lv,"5,39 € - 5,79 €",4.69
Tostermaize Tip Top 500g,etop.lv,‌,0.87
Linsēklas Alis Co 300g,etop.lv,"1,21 € - 1,41 €",0.91
Siers Valio Atleet Rīvēts Picai 200g,etop.lv,"2,55 € - 2,79 €",2.29
Cepumi Tip Top Iemīļotie Ar Šokolādes Garšu 180g,etop.lv,‌,0.69
Karameles Tip Top Ar Bumbieru Garšu Sver.,etop.lv,‌,3.59
Marshmallow Tip Top Bbq 500g,etop.lv,‌,4.29
Magoņu Sēklas Alis Co 1 Kg,etop.lv,"5,69 € - 6,09 €",4.99
Čia Sēklas Alis Co 500g,etop.lv,"3,79 € - 4,19 €",3.09
Ķirbju Sēklas Alis Co Lobītas 500 G,etop.lv,"4,45 € - 4,85 €",3.75
Matu Kondic.elseve Hyaluron Plump 200ml,etop.lv,‌,3.39
Šķidrās Roku Ziepes Palmolive Naturals Almond Refill 500ml,etop.lv,"2,89 € - 3,19 €",2.29
Dušas Želeja Palmolive Vīriešiem Intense Spice Up 500ml,etop.lv,"4,39 € - 4,79 €",3.69
Dušas Želeja Palmolive Vīriešiem Intense Jazz Up 500ml,etop.lv,"4,39 € - 4,79 €",3.69
Vafeles Tip Top Ar Kakao Garšu 150g,etop.lv,‌,0.99
Vafeles Tip Top Ar Piena Garšu 150g,etop.lv,‌,0.99
Vafeles Tip Top Ar Citrona Garšu 150g,etop.lv,‌,0.99
Deserts Muss Profeel Proteīna Bezlaktozes Aveņu 150g,etop.lv,"1,86 € - 1,89 €",1.49
Deserts Muss Profeel Proteīna Bezlaktozes Šokolādes 150g,etop.lv,"1,86 € - 1,89 €",1.49
D Sidrs Bezalk. Somersby Pear 0.5l Can,etop.lv,‌,1.39
Šokolādes Batoniņš Lion Black White 42g,etop.lv,‌,0.79
Īpaši Tumša Šokolāde Laima Lukss 87% 90g,etop.lv,"2,69 € - 2,99 €",2.09
Veļas Mīkstinātājs Lenor Gold Orchid Vanilla 675ml 32mr,etop.lv,"4,99 € - 6,19 €",3.59
Veļas Mīkstinātājs Lenor Sensitive 798ml 38mr,etop.lv,"4,99 € - 6,19 €",3.59
Veļas Mīkstinātājs Lenor Spring Awakening 798ml 38mr,etop.lv,"4,99 € - 5,99 €",3.59
Veļas Mazg.līdz.ariel Sensitive 1.125l 25mr,etop.lv,"8,99 € - 9,89 €",7.99
Veļas Mazg.kapsulas Ariel Color 70gab,etop.lv,‌,19.99
Veļas Mazg.līdz.ariel Mountain Spring 1.125l 25mr,etop.lv,"8,99 € - 9,89 €",7.99
Tumšā Šokolāde Laima Lukss Ar Ķiršiem Un Mandelēm 90g,etop.lv,"2,69 € - 2,99 €",2.09
Dušas Želeja Old Spice Wolf Thorn 400ml,etop.lv,"4,29 € - 4,69 €",3.59
Skuveklis Gillette Sensor 3 Plus Comfort Ar 8 Kasetēm,etop.lv,"8,49 € - 9,39 €",7.49
Siera Uzkoda Ādaži Collection 300g,etop.lv,"2,89 € - 3,29 €",2.79
Siers Holandes Jaunpils Šķēlēs 300g,etop.lv,"3,69 € - 3,99 €",2.79
Sautējums William Saurin Pupiņu Ar Pīli 400g,etop.lv,‌,3.89
Sautējums William Saurin Cūkgaļas Ar Lēcām 400g,etop.lv,‌,3.89
Sautējums William Saurin Vistas Ar Sēņu Mērci 400g,etop.lv,‌,3.89
Vista Krējuma Mērcē William Saurin Ar Makaron. Un Sēnēm 280g,etop.lv,‌,3.89
Sautējums William Saurin Teļa Gaļas Un Dārzeņu 280g,etop.lv,‌,3.89
Sautējums William Saurin Truša Baltvīna Mērcē 300g,etop.lv,‌,3.89
Veļas Mazg.līdz.ariel Color 1.125l 25mr,etop.lv,"8,99 € - 9,89 €",7.99
Nūdeles Sam Yang Ramen Hot Chicken Carbo 130g,etop.lv,‌,1.89
Kafijas Pupiņas Aroma Gold Espresso 1kg,etop.lv,"16,99 € - 17,89 €",15.99
Graudainais Biezpiens Tip Top 9% 185g,etop.lv,‌,1.25
Graudainais Biezpiens Tip Top 0.5% 185g,etop.lv,‌,1.15
D Enerģijas Dzēr.cult Game Changer 500ml Can,etop.lv,‌,0.95
Šašliks Rīgas Miesnieks Cūkgaļas Etiķa Marinādē 800g,etop.lv,"4,99 € - 5,39 €",4.29
Šašliks Rīgas Miesnieks Cāļa Sarkanajā Marinādē 700g,etop.lv,‌,4.79
Dušas Želeja Palmolive Skin Radiance Papaya Peach 500ml,etop.lv,"6,69 € - 7,29 €",3.69
Pupiņas Fiorino Sarkanās 400g,etop.lv,"0,97 € - 1,17 €",0.67
Pupiņas Fiorino Sviesta 400g,etop.lv,"0,99 € - 1,19 €",0.69
Pupiņas Fiorino Mix 400g,etop.lv,"0,97 € - 1,17 €",0.67
Turku Zirņi Fiorino 400g,etop.lv,"0,95 € - 1,15 €",0.65
Tomāti Fiorino Savā Sulā Mizoti 400g,etop.lv,"1,03 € - 1,23 €",0.73
Tomāti Fiorino Savā Sulā Sasmalcināti 400g,etop.lv,"1,09 € - 1,29 €",0.79
