title,store,original_price,current_price,unit_price,unit,image_url
KAFIJA ŠĶĪSTOŠĀ NESCAFE 3IN1 BROWN SUGAR 16.5GR 1 GAB,etop.lv,0.49 € - 0.69 €,0.19,,,https://cdn.etop.lv/products/59945369-328x328.png
KAFIJAS KAPSULAS NESCAFE DG GRANDE 136G,etop.lv,,8.69,63.90,€/kg,https://cdn.etop.lv/products/8445290446244-328x328.png
KUKURŪZAS ČIPSI DORITOS NACHO AR SIERA GARŠU 90G,etop.lv,2.15 € - 2.25 €,1.49,16.56,€/kg,https://cdn.etop.lv/products/5900259142085-328x328.png
KUKURŪZAS ČIPSI DORITOS SWEET CHILI 90G,etop.lv,2.15 € - 2.25 €,1.49,16.56,€/kg,https://cdn.etop.lv/products/5900259142092-328x328.png
DESIŅAS RĪGAS MIESNIEKS MĀRTIŅA AR SIERU 300G,etop.lv,3.09 € - 3.39 €,2.49,8.30,€/kg,https://cdn.etop.lv/products/4750174003319-328x328.png
D DZĒRIENS SUPER MANKI RASPBERRY ICE CREAM 330ML CAN,etop.lv,1.09 € - 1.12 €,0.69,2.09,€/l,https://cdn.etop.lv/products/4770349234638-328x328.png
AUTIŅBIKSĪTES PAMPERS PANTS VP S3 6-11KG 40GAB,etop.lv,,17.99,1.64,€/kg,https://cdn.etop.lv/products/8006530343695-328x328.png
AUTIŅBIKSĪTES PAMPERS PANTS VP S4 9-15KG 35GAB,etop.lv,,16.99,1.13,€/kg,https://cdn.etop.lv/products/8006530320412-328x328.png
AUTIŅBIKSĪTES PAMPERS PANTS VP S5 11-17KG 32GAB,etop.lv,,16.99,1.00,€/kg,https://cdn.etop.lv/products/8006530320436-328x328.png
AUTIŅBIKSĪTES PAMPERS PANTS VP S6 13-19KG 29GAB,etop.lv,,16.99,0.89,€/kg,https://cdn.etop.lv/products/8006530320375-328x328.png
SALDĒJUMS MAGNUM LE PISTACHE UZ KOCIŅA 70G,etop.lv,1.69 € - 1.89 €,1.29,18.43,€/kg,https://cdn.etop.lv/products/8721274812831-328x328.png
SALDĒJUMS MAGNUM PESCHE UZ KOCIŅA 70G,etop.lv,1.69 € - 1.89 €,1.29,18.43,€/kg,https://cdn.etop.lv/products/8721274813593-328x328.png
SALDĒJUMS MINECRAFT VANIĻAS GARŠA VAFEĻU KONUSĀ 46G,etop.lv,,1.69,36.74,€/kg,https://cdn.etop.lv/products/8721274829143-328x328.png
SALDĒJUMS TWISTER FREEZE NPD 72G,etop.lv,0.89 € - 1.09 €,0.59,8.19,€/kg,https://cdn.etop.lv/products/8721274812640-328x328.png
D DZĒRIENS COCA COLA GĀZ. 850ML PET,etop.lv,1.69 € - 1.79 €,0.99,1.16,€/l,https://cdn.etop.lv/products/5449000034519-328x328.png
D DZĒRIENS COCA COLA ZERO GĀZ. 850ML PET,etop.lv,1.69 € - 1.79 €,0.99,1.16,€/l,https://cdn.etop.lv/products/5449000275448-328x328.png
SALDĒJUMS KARLSONS DZĒRVEŅU 75G,etop.lv,0.75 € - 0.85 €,0.55,7.33,€/kg,https://cdn.etop.lv/products/4750025904185-328x328.png
